season,contestant,age,made_finale,winner,n_wins,n_highs,n_lows,n_lipsyncs,n_episodes,age_num,followers_june2017,followers_week23,had_any_lipsync,had_any_win,highs_per_episode,hometown,is_California,is_Florida,is_Georgia,is_Illinois,is_New_York,is_Puerto_Rico,is_Texas,is_international,lipsyncs_per_episode,location,log_followers_june2017,log_followers_week23,lows_per_episode,season_num,state_or_country,total_bottom,total_top,wins_per_episode
S04,Latrice Royale,39,0,0,2,2,1,3,12,39.0,431000,641000,1,1,0.1667,"South Beach, Florida",0,1,0,0,0,0,0,0,0.25,"Miami Beach, FL, USA",12.9739,13.3708,0.0833,4,Florida,4,4,0.1667
S04,Madame LaQueer,29,1,0,1,0,1,1,12,29.0,,,1,1,0.0,"Carolina, Puerto Rico",0,0,0,0,0,1,0,0,0.0833,"Orange, CA, USA",,,0.0833,4,Puerto Rico,2,1,0.0833
S04,Milan,36,0,0,0,0,0,3,12,36.0,5271,,1,0,0.0,"Florence, South Carolina",0,0,0,0,0,0,0,0,0.25,"New York City, NY, USA",8.5702,,0.0,4,South Carolina,3,0,0.0
S04,Phi Phi O'Hara,25,1,0,2,4,2,1,12,25.0,,426000,1,1,0.3333,"Chicago, Illinois",0,0,0,1,0,0,0,0,0.0833,NA,,12.9622,0.1667,4,Illinois,3,6,0.1667
S04,Sharon Needles,29,1,0,5,2,1,1,12,29.0,668000,926000,1,1,0.1667,"Pittsburgh, Pennsylvania",0,0,0,0,0,0,0,0,0.0833,"Pittsburgh, PA, USA",13.412,13.7386,0.0833,4,Pennsylvania,2,7,0.4167
S04,The Princess,32,0,0,0,1,0,2,12,32.0,,,1,0,0.0833,"Chicago, Illinois",0,0,0,1,0,0,0,0,0.1667,"Nashville, TN, USA",,,0.0,4,Illinois,2,1,0.0
S04,Willam,29,0,0,2,1,0,1,12,29.0,638000,881000,1,1,0.0833,"Los Angeles, California",1,0,0,0,0,0,0,0,0.0833,"Los Angeles, CA, USA",13.3661,13.6888,0.0,4,California,1,3,0.1667
S05,Alaska,27,1,0,2,5,2,0,12,27.0,,,0,1,0.4167,"Pittsburgh, Pennsylvania",0,0,0,0,0,0,0,0,0.0,"Los Angeles, CA, USA",,,0.1667,5,Pennsylvania,2,7,0.1667
S05,Alyssa Edwards,32,1,0,1,1,1,3,12,32.0,,,1,1,0.0833,"Mesquite, Texas",0,0,0,0,0,0,1,0,0.25,"Dallas, TX, USA",,,0.0833,5,Texas,4,2,0.0833
S05,Coco Montrese,37,0,0,1,1,0,4,12,37.0,,129000,1,1,0.0833,"Las Vegas, Nevada",0,0,0,0,0,0,0,0,0.3333,"Las Vegas, NV, USA",,11.7676,0.0,5,Nevada,4,2,0.0833
